

UB BASIC GSM KPIs(Cluster-CELL)
Save Time :2023-02-10 08:22:50
User Name :HW_RF_NASTAR

Date,GCell Group,Integrity,TCH Availability%_South,Total SDCCH Traffic (Erl)_South,Total TCH Traffic (Erl)_South,VAMOS Traffic,TCH AMR-FR Traffic (Erl)_South,TCH AMR-HR Traffic (Erl)_South,SDCCH Blocking%_South,TCH Blocking% (Call Setup)_South,TCH Blocking% (Mobility - InterCell HO)_South,DCR%_South,CSSR_Non Blocking,HSR%_South,In-HSR%_South,Out-HSR%_South,DL RxQual Index%_South,UL RxQual Index%_South,CEFR,SDCCH DR%_South,Total TCH Drops_South,Call Drop due to ABIS terrestrial link_South,Interference Band 345,K3001:Failed SDCCH Seizures due to Busy SDCCH,K3011A:Failed TCH Seizures due to Busy TCH (Traffic Channel),Initially Configured SDCCH_South,1800 TRX Count,900 TRX Count,"A3129B:Failed Assignments (First Assignment, Terrestrial Resource Request Failed)"
2023-01-29,KOHAT_CLUSTER_02_Rural,100%,96.0529,14402.8482,107917.5772,11621.6268,14836.8996,91958.0321,0.3622,1.2144,1.5391,0.6355,99.6094,97.5636,97.5546,97.5725,97.9673,99.1989,0.3622,0.0285,38442,1043,4.6659,37212,37476,10873,796,983,443
2023-01-29,2G_USF_NPM_North,100%,93.9651,12860.0023,83579.7809,12987.9772,8012.409,73847.2109,0.3002,5.7386,3.8275,1.123,99.3574,97.0195,96.9522,97.0867,97.6009,98.7414,0.5358,0.1074,44269,936,1.9562,25565,136212,7989,447,749,1420
2023-01-30,BANNU_CLUSTER_01_Rural,100%,96.0585,35504.0005,200908.4344,21761.6755,23494.7711,171612.1074,1.704,5.0466,4.1484,0.9913,98.836,96.5039,96.5086,96.4993,96.7196,98.6663,1.0757,0.0892,111980,1350,9.8729,369258,351065,20643.3333,1432,1558,488
2023-01-30,KOHAT_CLUSTER_01_Rural,100%,96.6883,8461.5824,63304.0993,3885.518,15225.994,47470.0765,0.0809,0.0944,0.5276,0.3751,99.7039,97.5975,97.5523,97.6427,98.3155,99.5121,0.2561,0.0401,13871,248,3.4751,5289,1754,6418,575,597,1304
2023-01-30,KOHAT_CLUSTER_01_Urban,100%,95.5582,2104.8609,14231.2077,1116.2307,2597.5168,11601.594,0.2415,0.4896,0.6222,0.4729,99.8103,97.8614,98.0493,97.6679,98.5202,99.5065,0.1862,0.0036,4077,64,7.5341,3864,2319,1427,125,123,2
2023-01-30,KOHAT_CLUSTER_02_Rural,100%,95.83,14176.3727,108920.919,11777.5288,14741.1645,93069.9296,0.2004,1.2899,1.9438,0.6195,99.5914,97.6042,97.6096,97.5988,98.0089,99.1883,0.3787,0.03,38568,728,4.646,20544,40930,10873,796,983,416
2023-01-30,2G_USF_NPM_North,100%,97.205,12453.7484,83260.3987,12475.2279,7905.1096,73726.2135,0.1793,5.7379,3.9007,1.0439,99.2981,97.0772,97.0397,97.1145,97.6852,98.8079,0.5991,0.1034,41673,234,1.8519,14937,136929,7989,447,749,5124
2023-01-31,BANNU_CLUSTER_01_Rural,100%,96.3822,36696.9873,202089.7399,22180.2826,23678.289,172428.1939,2.0492,5.1943,3.2938,1.0675,98.8138,96.3416,96.3426,96.3406,96.7637,98.6204,1.118,0.0689,120363,915,10.6982,454131,360744,20642.6667,1432,1558,460
2023-01-31,KOHAT_CLUSTER_01_Rural,100%,99.0842,8255.6061,63534.7072,3846.2828,15559.8118,47360.8882,0.0853,0.1096,0.8794,0.3749,99.7148,97.5522,97.5,97.6042,98.3482,99.5034,0.253,0.0322,13786,319,3.873,5471,1967,6418,575,597,1456
2023-01-31,KOHAT_CLUSTER_01_Urban,100%,98.6607,1922.8283,13693.164,1034.486,2747.1084,10909.732,0.004,0.3717,0.0261,0.3741,99.8271,98.0483,98.2634,97.828,98.6505,99.5831,0.1693,0.0036,3066,63,7.6647,60,1636,1427,125,123,2
